                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     46,                0.98108,                0.53394,                0.94676,                0.85243,                0.78802,                0.84941,                 0.5839,                 1.0209,                0.55924,                  1.043,             0.00079238,             0.00079238,             0.00079238
                     47,                0.96175,                 0.5244,                 0.9348,                0.90879,                 0.7923,                0.84931,                0.56673,                 1.0026,                0.57862,                  1.027,             0.00077823,             0.00077823,             0.00077823
                     48,                0.97284,                0.53397,                0.94153,                0.81124,                0.82647,                0.86966,                0.62018,                 1.0027,                0.53602,                 1.0215,             0.00076409,             0.00076409,             0.00076409
                     49,                0.98443,                0.53694,                0.94093,                0.89074,                0.84108,                 0.8829,                 0.6058,                 1.0007,                0.54696,                 1.0198,             0.00074994,             0.00074994,             0.00074994
                     50,                0.95712,                0.52699,                0.94072,                0.80281,                0.83036,                0.84921,                0.58539,                 1.0062,                0.53925,                 1.0254,             0.00073579,             0.00073579,             0.00073579
                     51,                0.94256,                0.51836,                0.93439,                0.88142,                0.82923,                 0.8663,                0.60466,                 1.0239,                 0.5443,                 1.0362,             0.00072164,             0.00072164,             0.00072164
                     52,                0.96328,                0.52096,                0.94154,                0.90575,                0.82714,                0.88077,                0.61287,                  1.028,                0.52415,                 1.0299,              0.0007075,              0.0007075,              0.0007075
                     53,                0.94851,                0.51165,                0.93428,                0.89534,                0.79488,                0.86872,                 0.5949,                 1.0044,                0.53269,                 1.0237,             0.00069335,             0.00069335,             0.00069335
                     54,                0.93366,                0.49639,                0.93144,                0.74037,                0.81257,                0.81823,                0.55267,                 1.0241,                0.54895,                 1.0295,              0.0006792,              0.0006792,              0.0006792
                     55,                0.95426,                0.49886,                0.93249,                 0.8638,                0.82379,                0.87273,                0.60066,                 1.0274,                0.54384,                 1.0329,             0.00066506,             0.00066506,             0.00066506
                     56,                0.91988,                0.49469,                0.93406,                0.86163,                0.82143,                0.87982,                0.62049,                0.98512,                0.50657,                 1.0211,             0.00065091,             0.00065091,             0.00065091
                     57,                0.92527,                0.48547,                0.92771,                0.88395,                0.80611,                0.86514,                0.58402,                 1.0124,                0.54741,                 1.0265,             0.00063676,             0.00063676,             0.00063676
                     58,                0.94161,                0.49481,                0.92522,                0.93352,                0.79438,                0.86455,                0.58814,                 1.0311,                0.54225,                 1.0315,             0.00062262,             0.00062262,             0.00062262
                     59,                 0.9331,                 0.4875,                0.93021,                0.89252,                0.79872,                0.87042,                 0.6089,                 1.0228,                0.52921,                 1.0331,             0.00060847,             0.00060847,             0.00060847
                     60,                0.94062,                0.49336,                 0.9251,                0.87935,                0.78843,                0.87791,                0.60755,                 1.0318,                0.54436,                 1.0363,             0.00059432,             0.00059432,             0.00059432
                     61,                0.91365,                0.48721,                0.92159,                0.94461,                 0.7617,                0.84942,                0.58068,                0.99519,                0.54174,                 1.0103,             0.00058017,             0.00058017,             0.00058017
                     62,                0.91532,                0.49044,                0.91532,                0.90823,                 0.7957,                0.88391,                0.60556,                 1.0322,                0.51236,                 1.0401,             0.00056603,             0.00056603,             0.00056603
                     63,                0.92164,                0.48612,                0.92348,                0.91148,                 0.7737,                0.88476,                0.60676,                 1.0076,                0.50577,                 1.0194,             0.00055188,             0.00055188,             0.00055188
                     64,                0.90761,                0.47559,                0.91962,                0.92465,                0.82647,                0.88223,                 0.5994,                 1.0017,                0.51348,                 1.0238,             0.00053773,             0.00053773,             0.00053773
                     65,                0.91501,                0.48387,                0.92341,                0.92004,                0.80158,                0.87911,                0.60522,                0.99784,                0.52124,                 1.0289,             0.00052359,             0.00052359,             0.00052359
                     66,                0.89322,                0.46164,                0.91811,                0.83696,                0.77076,                0.84164,                0.58055,                 1.0052,                0.55939,                 1.0324,             0.00050944,             0.00050944,             0.00050944
                     67,                0.90996,                0.47467,                0.91361,                0.91273,                0.77856,                0.87509,                0.61726,                0.98746,                0.52743,                 1.0192,             0.00049529,             0.00049529,             0.00049529
                     68,                0.91156,                0.47693,                0.91962,                0.92881,                 0.8085,                0.89444,                0.61668,                 1.0051,                0.50764,                 1.0247,             0.00048114,             0.00048114,             0.00048114
                     69,                0.87821,                0.45616,                0.91289,                0.86703,                0.79894,                0.85545,                0.56509,                 1.0162,                0.52711,                 1.0251,               0.000467,               0.000467,               0.000467
                     70,                0.90171,                0.47523,                0.91299,                0.89007,                0.81715,                0.87839,                0.59311,                 1.0308,                0.51816,                 1.0312,             0.00045285,             0.00045285,             0.00045285
                     71,                0.88824,                0.46894,                0.91311,                 0.8541,                0.82594,                0.86858,                0.58175,                 1.0367,                0.53631,                 1.0395,              0.0004387,              0.0004387,              0.0004387
                     72,                0.86188,                0.45261,                0.91309,                0.93647,                0.80501,                0.87869,                0.60274,                 1.0258,                0.51454,                 1.0407,             0.00042456,             0.00042456,             0.00042456
                     73,                 0.8809,                0.45654,                0.91627,                0.93343,                0.80068,                 0.8839,                0.61063,                 1.0033,                0.50384,                 1.0265,             0.00041041,             0.00041041,             0.00041041
